time,open,high,low,close,
06/04/2007 0:00,1.3418,1.3425,1.3364,1.3378,318372
08/04/2007 0:00,1.3374,1.33798,1.33564,1.336,72574
09/04/2007 0:00,1.336,1.3434,1.334,1.3419,567124
10/04/2007 0:00,1.3419,1.3456,1.34015,1.3422,1133140
11/04/2007 0:00,1.3422,1.3468,1.34065,1.3459,1085840
12/04/2007 0:00,1.3459,1.35235,1.34405,1.3507,766924
13/04/2007 0:00,1.3507,1.35525,1.34845,1.35255,355649
15/04/2007 0:00,1.3554,1.3577,1.35221,1.3554,115822
16/04/2007 0:00,1.35535,1.35625,1.35224,1.3538,978318
17/04/2007 0:00,1.3538,1.3594,1.3527,1.35855,1048291
18/04/2007 0:00,1.3586,1.362,1.3556,1.3591,1245707
19/04/2007 0:00,1.3591,1.3628,1.35605,1.3615,868280
20/04/2007 0:00,1.3615,1.3637,1.3586,1.3588,904613
22/04/2007 0:00,1.35975,1.3607,1.3582,1.3593,102858
23/04/2007 0:00,1.3593,1.3594,1.354,1.3563,779787
24/04/2007 0:00,1.3563,1.3643,1.35505,1.3629,1052257
25/04/2007 0:00,1.36285,1.3665,1.3622,1.3649,913236
26/04/2007 0:00,1.3649,1.3654,1.3584,1.3606,1196529
27/04/2007 0:00,1.3607,1.3682,1.35865,1.3652,874665
29/04/2007 0:00,1.36305,1.3648,1.3615,1.36353,316890
30/04/2007 0:00,1.36353,1.36777,1.35884,1.36463,665363
01/05/2007 0:00,1.36463,1.36711,1.35598,1.35725,659597
02/05/2007 0:00,1.35725,1.36097,1.35624,1.36044,660887
03/05/2007 0:00,1.36037,1.36193,1.35344,1.3542,665717
04/05/2007 0:00,1.35423,1.36088,1.35386,1.35893,330620
06/05/2007 0:00,1.36015,1.36106,1.35883,1.36017,333800
07/05/2007 0:00,1.36017,1.36255,1.35928,1.36145,676496
08/05/2007 0:00,1.36143,1.36202,1.35155,1.35403,669033
09/05/2007 0:00,1.35404,1.35641,1.35187,1.35345,663082
10/05/2007 0:00,1.35343,1.35624,1.34628,1.34783,675354
11/05/2007 0:00,1.34782,1.35305,1.34649,1.35222,332391
13/05/2007 0:00,1.35343,1.35492,1.35271,1.35458,335522
14/05/2007 0:00,1.3546,1.3557,1.35235,1.35425,665812
15/05/2007 0:00,1.35426,1.36071,1.35264,1.35968,667447
16/05/2007 0:00,1.35979,1.36081,1.35035,1.35265,672826
17/05/2007 0:00,1.35267,1.35421,1.34773,1.34855,663343
18/05/2007 0:00,1.3485,1.35205,1.34648,1.35053,330202
20/05/2007 0:00,1.35123,1.35288,1.35104,1.35145,154547
21/05/2007 0:00,1.35147,1.35174,1.34359,1.34535,662644
